,Title,platform,release_date,summary,meta_score,user_review
60,Heroes Chronicles: Conquest of the Underworld,PC,2000-09-27,"When the soul of Queen Allison's father is kidnapped from Paradise, Tanrum escorts her through the cursed grounds of the Underworld. Every step is blocked by a fiery inferno or foggy necropolis from which march demons and undead determined to make Tanrum a permanent inhabitant of the land of the dead. [3DO]",64,7.2
61,Hatoful Boyfriend,PlayStation 4,2015-07-21,"Congratulations! You’ve been accepted as the only human student at the prestigious St. PigeoNation’s Institute, a school for talented birds. Roam the halls and find love in between classes as a sophomore student at the world’s greatest pigeon high school.",72,6.2
62,Hatoful Boyfriend,PC,2012-02-15,Chat with birds of every feather from narcoleptic school instructors to pigeon biker gangs on your way to flirty encounters potential suitors that set your hear aflutter. Spend time with the ones that strike your fancy and ditch the birds that prove to be a bore.,68,7.1
63,Area 51,PlayStation 2,2005-04-25,"Featuring online play, Area 51 is set in the U.S. government's most top-secret and secure facility located in the Nevada desert. Players take on the role of Lt. Nick Cross, a hazardous biological waste specialist sent to investigate. During his investigation, Lt. Cross stumbles across alien creatures and becomes infected with a biological mutagen that eventually transforms him into something not quite human. To save the earth and himself, Lt. Cross must fight to solve the enigma of Area 51. Features extensive Single-Player Campaign: Battle through corridors of Area 51 and attempt to discover the secrets of the extraterrestrial menace before it is too late. Engage in an epic adventure through eight massive sections of a secretive complex. Equip yourself with more than 15 types of human and alien weapons and other equipment as you explore dark corridors. An infectious mutagen gives Lt. Nick Cross alien-enhanced physical abilities but is also slowly transforming him into an alien. Find the cure before it's too late and humanity is lost. Compete against your friends via a four-player split screen and system link through numerous multiplayer game modes including Death Match. Battle online where you can easily access the many systems allowing you to find your friends and set up your own matches. [Midway]",75,8.3
64,Area 51,Xbox,2005-04-25,"A viral outbreak has shut down one of the US government's most secret and secure military facilities and all scientific and military personnel are locked inside. A small Special Forces unit, led by specialist Ethan Cole, is sent to investigate. As Cole, you'll delve into five expansive levels within the confines of Area 51, discovering a deadly mutagenic side effect of the virus as well as an ancient alien colony buried beneath the facility. With an array of human and alien weapons, you must explore conspiracies in order to solve the enigma of Area 51.",72,7.7
65,Area 51,PC,2005-06-08,"Featuring online play, Area 51 is set in the U.S. government's most top-secret and secure facility located in the Nevada desert. Players take on the role of Lt. Nick Cross, a hazardous biological waste specialist sent to investigate. During his investigation, Lt. Cross stumbles across alien creatures and becomes infected with a biological mutagen that eventually transforms him into something not quite human. To save the earth and himself, Lt. Cross must fight to solve the enigma of Area 51. Features extensive Single-Player Campaign: Battle through corridors of Area 51 and attempt to discover the secrets of the extraterrestrial menace before it is too late. Engage in an epic adventure through eight massive sections of a secretive complex. Equip yourself with more than 15 types of human and alien weapons and other equipment as you explore dark corridors. An infectious mutagen gives Lt. Nick Cross alien-enhanced physical abilities but is also slowly transforming him into an alien. Find the cure before it's too late and humanity is lost. Compete against your friends via a four-player split screen and system link through numerous multiplayer game modes including Death Match. Battle online where you can easily access the many systems allowing you to find your friends and set up your own matches. [Midway]",67,6.1
66,Harmonix Music VR,PC,2016-10-10,"From a wacky dance party, to 3D reactive art, and even a nice relaxing alien beach, Harmonix Music VR promises to be the next evolution of your music library.",44,6.4
67,Call of Duty: Advanced Warfare - Havoc,Xbox One,2015-01-27,Havoc - The 1st DLC pack for Call of Duty: Advanced Warfare adds four all-new Multiplayer maps are tailor-made to unleash your exoskeleton’s power.,72,6.4
68,NHL 16,Xbox One,2015-09-15,"Players who are drawn to team experiences can jump into either 6 v. 6 Online Team Play, Online Couch Co-op, or the EA SPORTS Hockey League, that’s been re-formulated to deliver a new player class system for a more competitive and balanced experience. Players who want to build their own legacy can dive into Be-A-Pro, which allows them to start their career in the minors and takes them through a new progression system where how they play on the ice shapes who they become in the NHL. And if players are more akin to armchair GMs, not only can they navigate the machinations of draft day and manage their AHL affiliate team, they can now also manage the morale of individual players on their team.",80,6.0
69,NHL 16,PlayStation 4,2015-09-15,"Players who are drawn to team experiences can jump into either 6 v. 6 Online Team Play, Online Couch Co-op, or the EA SPORTS Hockey League, that’s been re-formulated to deliver a new player class system for a more competitive and balanced experience. Players who want to build their own legacy can dive into Be-A-Pro, which allows them to start their career in the minors and takes them through a new progression system where how they play on the ice shapes who they become in the NHL. And if players are more akin to armchair GMs, not only can they navigate the machinations of draft day and manage their AHL affiliate team, they can now also manage the morale of individual players on their team.",78,5.5
70,Constantine,Xbox,2005-02-14,"Inspired by the film by Warner Bros., and based on the graphic novels by DC Comics and Vertigo Hellblazer, Constantine is an intense horror game that literally takes you to Hell and back. You play as John Constantine, an irreverent mystic detective who must embark on an investigation in a supernatural world that exists just beneath Los Angeles. To survive, you must use an array of powerful incantations and holy artifacts, including the crucifier, holy shotgun, and flamethrower. Your ""true sight"" ability helps you identify demons and other secrets.",60,7.3
71,Constantine,PlayStation 2,2005-02-14,"Based on the DC Comics/Vertigo ""Hellblazer"" graphic novels and the Warner Bros. film, the supernatural thriller Constantine tells the story of John Constantine, a man who has literally been to hell and back. When he teams up with sceptical policewoman Angela Dodson to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists just beneath the landscape of contemporary Los Angeles. Caught in a catastrophic series of otherworldly events, the two become inextricably involved and seek to find their own peace at whatever cost. [Warner Bros.]",58,7.7
72,MLB 09: The Show,PlayStation 3,2009-03-03,"Road to the Show 3.0. Now includes interactive training, new settings, a new steal/ lead-off system, presentations and coach interactions. Interactive training will consist of a set of mini-games designed to improve a player’s ability and performance in various areas of baseball. Franchise Mode 2.0. Improvements include the long awaited 40-man roster! The latest Franchise Mode improvements will also offer Salary Arbitration, Waiver Transactions and September call-ups. Training/Practice Drills. In MLB 09 users will have the ability to choose from a number of different Training/Practice drills. The drills will be of various concentrations of the game. These drills are a perfect way to polish and improve your baseball skills in The Show. Details & Subtleties. Details and subtleties play a huge role in legitimizing a game and helping you lose yourself in the suspension of disbelief. MLB 09 The Show sinks it's teeth into the details with realistic stadiums and signage, wear and tear on field, dusk to night lighting transitions, stadium Jumbotron animations and even crowd atmosphere - reaching up for foul balls out of play and home runs in addition to crowd rivalries and weather appropriate clothing. [SCEA]",90,8.1
