,Title,platform,release_date,summary,meta_score,user_review
63,Full Auto 2: Battlelines,DS,2007-03-20,"Full Auto 2: Battlelines blasts onto the PSP with a constant barrage of high-octane demolition. While the player races full-throttle through the city, their strategically timed missiles will bring down buildings and other elements on opponents and set off fiery chain reactions. Players wreak vehicular mayhem in both arena-combat and racing-combat modes with 15 customizable vehicles stocked with explosive weapons of their choice. A whole new career storyline awaits with challenging new pick-up-and-play modes, goals, and rivals all bent on mass destruction. Strategically targeted destruction opens up invaluable new routes and blocks opponents. New career storyline: A 50+ event single-player career path with multiple modes, objectives, destructive weapons, areas, and rivals to unlock. Numerous single-player and multiplayer races via ad hoc, such as Head-On, Down & Back, as well as Arena Deathmatch modes challenge players with a variety of objectives. Players obliterate and wreak havoc in 15 cars - nine brand new to the PSP version. All-new weapons: Customize vehicles with light, medium and heavy weapons including the M16, Grenade, M60, M203 Launcher, Aircraft Gun, Mortar, Fire & Forget Missile, and Heat-Seeking Missiles. Over 15 original tracks: Three unique new districts on the PSP system, each offering six tracks including Point-to-Point, Circuit, and Arena levels. AAA licensed soundtrack: Obliterate the city while listening to popular tracks by Stone Sour, Sum 41, We Are Scientists, Wolfmother and others. [Sega]",53,6.6
64,Trinity: Souls of Zill O'll,Xbox One,2011-02-08,"For years, Omega Force has transcended the action genre to create one of video gaming's most legendary franchises. Now, it will unleash its imagination on the realm of fantasy with the upcoming TRINITY: Souls of Zill O'll.",55,7.9
65,Legend of Grimrock,PC,2012-04-11,"Legend of Grimrock is a dungeon crawling game inspired by oldschool classics of the genre while still bringing its own twists to the game. The game features survival, combat, magic, puzzles and role-playing elements. The player is a prisoner sentenced to death and exiled to the secluded Mount Grimrock for vile crimes he may or may not have committed. Unbeknownst to his captivators, the mountain is riddled with ancient tunnels and dungeons. The player's mission is to form a team and escape by descending through the mountain, level by level. During the journey the player encounters mysterious puzzles, deadly traps, ancient tombs and horrible monsters left behind by crumbled civilizations long perished now. Find out more at http://www.grimrock.net",82,8.1
66,Blackwood Crossing,Xbox One,2017-04-05,"Blackwood Crossing is a single-player, first person narrative game. An intriguing tale exploring the relationship of Scarlett and Finn, two siblings who are growing apart. When their paths cross with a ghostly figure, an ordinary train ride evolves into a haunting adventure of love, death and magic.",78,6.7
67,Blackwood Crossing,PlayStation 4,2017-04-04,"Blackwood Crossing is a single-player, first person narrative game. An intriguing tale exploring the relationship of Scarlett and Finn, two siblings who are growing apart. When their paths cross with a ghostly figure, an ordinary train ride evolves into a haunting adventure of love, death and magic.",71,6.8
68,Blackwood Crossing,PC,2017-04-04,"Blackwood Crossing is a single-player, first person narrative game. An intriguing tale exploring the relationship of Scarlett and Finn, two siblings who are growing apart. When their paths cross with a ghostly figure, an ordinary train ride evolves into a haunting adventure of love, death and magic.",70,6.4
69,Family Guy: Back to the Multiverse,DS,2012-11-20,"Family Guy: Back to the Multiverse introduces an all-new original story written and voiced by Family Guy talent and influenced by the famous Family Guy season eight episode, Road to the Multiverse, where Stewie and Brian travel on an out-of-this-world journey through Quahog’s bizarre parallel universes. Gamers travel through all-new settings on a mission to save Quahog and stop the destructive schemes of Bertram, Stewie’s nemesis. Playing as either Stewie or Brian, each equipped with unique special weapons and abilities, gamers encounter an array of Family Guy characters, references and jokes. Additionally, fans can share this hilarious experience and invite friends and family to jump into the wild Family Guy world through drop-in/drop-out co-op multiplayer mode and competitive multiplayer challenges. [Activision]",40,6.2
70,Family Guy: Back to the Multiverse,Wii,2012-11-20,"Family Guy: Back to the Multiverse introduces an all-new original story written and voiced by Family Guy talent and influenced by the famous Family Guy season eight episode, Road to the Multiverse, where Stewie and Brian travel on an out-of-this-world journey through Quahog’s bizarre parallel universes. Gamers travel through all-new settings on a mission to save Quahog and stop the destructive schemes of Bertram, Stewie’s nemesis. Playing as either Stewie or Brian, each equipped with unique special weapons and abilities, gamers encounter an array of Family Guy characters, references and jokes. Additionally, fans can share this hilarious experience and invite friends and family to jump into the wild Family Guy world through drop-in/drop-out co-op multiplayer mode and competitive multiplayer challenges. [Activision]",39,4.9
71,NASCAR 08,Xbox 360,2007-07-23,"Take the wheel and drive your way to the NASCAR Nextel Cup Series championship. As the new rookie driver on the circuit, develop your racing skills to gain licenses and contracts from hungry owners and unlock legendary top performing cars from NASCAR's biggest stars. Gain new experiences during every race then modify your car's handling with over 40 tuning options to truly master every track. Share your setups with NASCAR's gaming community, then challenge the field in live races with up to 16 players online. Experience tomorrow's racing today in NASCAR 08. [Electronic Arts]",59,5.2
72,NASCAR 08,PlayStation 3,2007-07-23,"Take the wheel and drive your way to the NASCAR Nextel Cup Series championship. As the new rookie driver on the circuit, develop your racing skills to gain licenses and contracts from hungry owners and unlock legendary top performing cars from NASCAR's biggest stars. Gain new experiences during every race then modify your car's handling with over 40 tuning options to truly master every track. Share your setups with NASCAR's gaming community, then challenge the field in live races with up to 16 players online. Experience tomorrow's racing today in NASCAR 08. [Electronic Arts]",57,4.6
